,Theme,Name
51,IT 대표주,"['LG디스플레이', 'LG전자', '삼성SDI', '삼성전자', '삼성에스디에스', 'SK하이닉스']"
52,건설기계,"['대동금속', 'HD현대건설기계', '진성티이씨', '대모', 'HD현대인프라코어', '흥국', '대창단조', '현대에버다임', '수산중공업', '두산밥캣', '프리엠스', '혜인', '서연탑메탈', '디와이파워', '동일금속', '테라사이언스']"
53,2023 하반기 신규상장,"['큐리옥스바이오시스템즈', '이노시뮬레이션', '파두', '필에너지', '버넥트', '에이엘티', '코츠테크놀로지', '크라우드웍스', '와이랩', '시지트로닉스', '교보14호스팩', '한국제12호스팩', '대신밸런스제16호스팩', '에스케이증권제10호스팩', '빅텐츠', '유안타제14호스팩', '하나28호스팩', '대신밸런스제15호스팩', 'KB제26호스팩', '유안타제11호스팩', '에스케이증권제9호스팩', 'DB금융스팩11호', '엠아이큐브솔루션', '뷰티스킨', '센서뷰', '넥스틸', '시큐레터', '파로스아이바이오', '스마트레이더시스템']"
54,2차전지(장비),"['디이엔티', '필에너지', '윈텍', '코윈테크', '에이프로', '피엔티', '유일에너테크', '윤성에프앤씨', '티에스아이', '엠플러스', '씨아이에스', '자비스', '원준', '지아이텍', '브이원텍', '대보마그네틱', '탑엔지니어링', '하나기술', '명성티엔에스', '이아이디', '대성하이텍', '넥스트아이', '디아이티', '엔시스', '아바코', '에이치와이티씨', '웰크론한텍', '필옵틱스', '디에이테크놀로지', '이노메트리', '원익피앤이', '오션브릿지', '톱텍', '펨트론', 'HB테크놀러지', '나인테크', '우신시스템']"
55,폴더블폰,"['파인텍', 'LG디스플레이', '상보', 'LG화학', '코오롱인더', 'SK이노베이션', 'SKC', '테이팩스', 'PI첨단소재', '삼성전기', '디케이티', '삼성전자', '에스코넥', '이녹스첨단소재', '유티아이', '원익큐브', '파인엠텍', '파인테크닉스', 'KH바텍', '켐트로닉스', '세경하이테크', '인터플렉스', '비에이치', '노바텍', '동운아나텍']"
56,가상현실(VR),"['에스피지', '이노시뮬레이션', '한빛소프트', '세코닉스', '시공테크', 'LG전자', '토탈소프트', '스코넥', '나무가', '덱스터', '바른손이앤에이', '위지윅스튜디오', '주연테크', '넷마블', '이랜텍', '아프리카TV', '라온텍', '다날', '지니뮤직', '와이제이엠게임즈', '삼성전자', '하이소닉', '에스코넥', '아이엠', '에이트원', '미투온', '드래곤플라이', '신도기연', '칩스앤미디어', '큐에스아이', '하이비젼시스템', '바른손', '제이씨현시스템', '에스넷', '동운아나텍']"
57,코로나19(음압병실/음압구급차),"['에스와이', '코오롱글로벌', 'GH신소재', '엔브이에이치코리아', '오텍', '신성이엔지', '케이엔솔', '우정바이오']"
58,2021 상반기 신규상장,"['이삭엔지니어링', '씨이랩', '해성티피씨', '유일에너테크', '아이퀘스트', '모비릭스', 'SK아이이테크놀로지', '에이치피오', '라이프시맨틱스', '진시스템', '피엔에이치테크', 'DB금융스팩9호', '파이버프로', '씨앤투스', '싸이버원', '하인크코리아', '레인보우로보틱스', '핑거', '뷰노', '나노씨엠에스', 'SK바이오사이언스', '신한제7호스팩', '이노뎁', '유안타제8호스팩', '하이제6호스팩', '에이디엠코리아', '유진스팩6호', '하나머스트7호스팩', '엔에이치스팩19호', '쿠콘', '모비데이즈', '샘씨엔에스', '엔시스', '프레스티지바이오파마', '삼영에스앤씨', '네오이뮨텍', 'LB루셈', '씨앤씨인터내셔널', '바이오다인', '제주맥주', '아모센스', '삼성스팩4호', '삼성머스트스팩5호', '프레스티지바이오로직스', '선진뷰티사이언스', '엔비티', '제노코', '와이더플래닛', '오로스테크놀로지', '자이언트스텝', '솔루엠']"
59,일자리(취업),"['오픈놀', '원티드랩', 'TS인베스트먼트', '사람인', '대성창투', 'DSC인베스트먼트', '에스코넥', '메가엠디', '윌비스', '아이비김영']"
60,리모델링/인테리어,"['동화기업', '벽산', 'KCC', '시공테크', '아이에스동서', '오하임아이엔티', '국보디자인', '하츠', '에넥스', 'KCC글라스', '한샘', '삼목에스폼', '진양화학', '한솔홈데코', '대림B&Co', '라이온켐텍', '희림', '파세코', '이건홀딩스', '진영', '이건산업', 'LX하우시스', 'SUN&L', '현대리바트', '유니드비티플러스', '플래스크']"
